X,Y,OBJECTID,NoticeNum,DateNotice,NT,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,Year
1412468.885,588218.0492,750288,2056364A,2021/11/03 11:25:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 035,541 S MONROE ST,2021
1412468.311,588230.8481,750289,2058400A,2021/11/09 16:49:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 036,539 S MONROE ST,2021
1412467.158,588255.8277,750291,2055229A,2021/10/28 09:55:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 038,535 S MONROE ST,2021
1412949.405,588320.9411,750333,1923180A,2020/08/12 12:35:00+00,Vacant,I,9,CARROLLTON RIDGE,0712 034,527 S FULTON AVE,2020
1412950.836,588295.5244,750335,1940279A,2020/09/24 14:06:00+00,Vacant,I,9,CARROLLTON RIDGE,0712 036,531 S FULTON AVE,2020
1413509.831,588499.4984,750358,1498981A,2017/02/06 10:04:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0713 020,1613 COLE ST,2017
1413533.308,588500.8308,750360,2150351A,2022/08/17 11:25:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0713 022,1609 COLE ST,2022
1413938.081,588516.9167,750373,1618762A,2018/01/09 19:21:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0714 005,1519 COLE ST,2018
1413770.525,588507.6648,750387,1908957A,2020/07/10 16:15:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0714 019,1547 COLE ST,2020
1413709.701,588504.857,750392,2092057A,2022/03/29 14:13:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0714 024,1557 COLE ST,2022
1413786.711,588431.9553,750393,2055587A,2021/10/29 14:44:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0714 025,501 S GILMOR ST,2021
1411757.603,587640.4749,750422,1655367A,2018/04/06 21:17:00+00,Vacant,I,9,CARROLLTON RIDGE,0718 026,600 S PULASKI ST,2018
